index,F,E0,mag,vol,nFe,nCo,nS
1053,-300.73823,-300.71216,62.0816,517.64,17,15,12
1054,-344.95228,-344.9315,29.1028,1132.91,17,3,40
1055,-83.478807,-83.474779,1.0503,205.36,2,4,8
1056,-93.785579,-93.77977,0.3748,225.6,4,3,8
1057,-42.734025,-42.73194,0.3614,114.86,2,1,4
1058,-58.168576,-58.157141,0.1177,129.38,1,4,5
1059,-103.64073,-103.63355,1.9843,242.31,8,1,7
1060,-277.67575,-277.65166,10.0127,594.17,18,4,22
1061,-223.73559,-223.71891,3.0577,545.32,7,10,20
1062,-49.940943,-49.938454,4.6504,107.01,1,4,3
1063,-62.340945,-62.334901,10.609,141.13,4,1,5
1064,-108.5629,-108.55616,0.8942,295.75,4,4,10
1065,-41.575695,-41.572906,0.6211,114.91,1,2,4
1066,-249.41516,-249.40043,5.2812,618.05,8,10,24
1067,-122.68985,-122.6768,11.5997,268.23,2,12,6
1068,-238.03826,-238.02187,0.3374,498.05,2,18,20
1069,-108.15616,-108.14611,0.0006,251.35,2,8,8
1071,-111.79088,-111.78427,18.9395,177.94,7,5,4
1072,-59.476159,-59.472065,1.222,134.86,4,1,4
1073,-34.493252,-34.487084,8.8515,111.57,1,3,2
1074,-178.98378,-178.97939,0,388.02,10,4,14
1075,-280.08337,-280.07673,6.7202,920.83,15,1,32
1076,-38.044472,-38.043513,0.8714,131.61,1,1,6
1077,-89.274786,-89.27017,7.2878,275.16,2,4,10
1078,-23.908571,-23.905296,2.9587,64.47,1,1,2
1079,-157.83783,-157.82808,0.7313,405.97,3,8,16
1080,-57.606939,-57.602915,1.9951,90.03,4,3,1
1081,-246.12693,-246.10885,33.2505,601.69,18,2,18
1082,-70.07928,-70.076069,15.4044,129.17,6,2,2
1083,-197.80431,-197.79837,1.0444,520.99,10,3,20
1084,-48.474751,-48.471688,0.3608,122.75,1,3,4
1085,-134.01115,-133.99945,5.3053,240.65,8,4,8
1086,-42.193455,-42.188939,0.2191,118.68,2,1,4
