index,F,E0,mag,vol,nFe,nCo,nS,Eform,Ehull,Js
1087,-59.672586,-59.666743,6.973300,141.530000,2,4,4,0.103697,0.611784,0.574205
1088,-55.745349,-55.742492,8.624000,90.420000,4,2,2,-0.055226,0.288972,1.111531
1089,-69.757950,-69.752620,3.886700,118.800000,6,1,3,-0.057694,0.289350,0.381278
1090,-137.274800,-137.268190,3.781700,432.980000,1,8,16,-0.310745,0.159900,0.101788
1091,-60.528882,-60.523474,0.197500,153.260000,1,4,5,-0.400591,0.175308,0.015018
1092,-171.923960,-171.916220,6.220500,386.000000,8,4,16,-0.419765,0.116531,0.187809
1093,-50.736602,-50.732960,2.615700,122.620000,3,1,4,-0.296998,0.232927,0.248602
1094,-272.899680,-272.875490,33.021200,499.650000,6,24,12,-0.193149,0.218998,0.770201
1095,-163.287120,-163.278680,5.899100,401.470000,7,4,16,-0.423413,0.114771,0.171242
1096,-42.247690,-42.243831,0.021900,119.190000,2,1,4,-0.314733,0.221563,0.002141
1097,-24.755225,-24.753492,3.033900,63.270000,1,2,1,0.367062,0.763265,0.558831
1098,-149.891790,-149.888610,6.000500,427.630000,4,6,16,-0.354445,0.168630,0.163530
1099,-68.322034,-68.314724,5.386500,202.010000,3,1,8,-0.286439,0.209661,0.310750
1100,-148.133660,-148.122230,4.159500,376.960000,4,8,12,-0.424763,0.139991,0.128595
1101,-172.226930,-172.216480,3.729100,397.540000,8,4,16,-0.430489,0.105807,0.109320
1102,-204.821700,-204.811540,3.908200,480.410000,2,13,20,-0.458196,0.079167,0.094807
1103,-522.033090,-522.007190,33.109600,1289.540000,24,16,44,-0.362959,0.179041,0.299224
1104,-513.791460,-513.753550,81.338600,959.940000,12,48,20,-0.009345,0.360070,0.987484
1105,-130.969040,-130.963060,0.000000,333.770000,4,6,12,-0.309568,0.247209,0.000000
1106,-391.550020,-391.520550,2.811800,829.440000,4,30,30,-0.433151,0.150051,0.039507
1107,-175.183020,-175.169930,0.895400,547.820000,6,6,18,-0.320137,0.220566,0.019048
1108,-163.600990,-163.597190,14.696300,394.170000,4,8,16,-0.326743,0.224150,0.434512
1109,-455.390280,-455.370400,44.526300,1065.440000,30,4,38,-0.297041,0.222591,0.487040
1110,-144.635920,-144.629660,0.000200,414.620000,2,8,16,-0.262070,0.242752,0.000006
1111,-74.223284,-74.217814,0.000800,169.520000,2,4,6,-0.437822,0.126933,0.000055
1112,-85.944116,-85.936053,1.999200,197.160000,4,2,8,-0.418190,0.118107,0.118172
1113,-215.036530,-215.021240,5.878400,505.750000,9,9,16,-0.355994,0.184615,0.135457
1114,-327.694760,-327.674130,3.394700,839.400000,8,16,32,-0.335310,0.215583,0.047131
1115,-242.216880,-242.201040,13.351000,605.540000,12,4,24,-0.393305,0.137181,0.256950
1116,-215.354590,-215.342110,45.987900,336.610000,21,2,6,-0.073941,0.165400,1.592187
1117,-41.708105,-41.705021,0.000600,129.780000,1,2,4,-0.441846,0.109046,0.000054
1118,-56.320330,-56.314685,0.283600,126.830000,1,4,4,-0.436360,0.120286,0.026059
1119,-41.698406,-41.694182,0.461600,124.530000,2,1,4,-0.236212,0.300084,0.043199
1120,-60.082636,-60.077297,0.020400,152.670000,4,2,4,0.348362,0.813122,0.001557
1121,-232.631760,-232.616720,6.780500,631.280000,4,12,24,-0.439417,0.085501,0.125175
1122,-78.514463,-78.510591,0.010600,135.620000,2,6,4,-0.335961,0.133732,0.000911
1123,-110.544340,-110.535740,18.127900,177.220000,6,6,4,-0.174474,0.196804,1.192099
1124,-143.374180,-143.364450,33.263800,238.860000,12,4,4,0.025101,0.311204,1.622953
1125,-167.027780,-167.017440,4.429500,423.170000,2,8,20,-0.422704,0.027578,0.121988
1126,-228.074760,-228.053920,25.398800,446.470000,4,20,12,-0.207609,0.253705,0.662977
1127,-218.240890,-218.226830,15.732700,461.490000,7,12,16,-0.322255,0.223507,0.397300
1128,-337.070330,-337.053110,5.648400,825.110000,16,8,32,-0.298706,0.237590,0.079779
1129,-54.362536,-54.357407,2.342400,143.490000,2,2,5,-0.366546,0.182266,0.190247
1130,-194.272480,-194.263330,15.406900,491.530000,11,3,18,-0.243098,0.284565,0.365294
1131,-193.841500,-193.825730,32.094400,328.160000,3,20,6,-0.218715,0.079736,1.139780
1132,-153.311740,-153.300150,0.225400,344.870000,8,4,12,-0.402410,0.134481,0.007617
1133,-84.572622,-84.563282,0.047600,201.640000,3,3,8,-0.422178,0.126060,0.002751
1134,-432.812640,-432.776190,4.479100,1356.830000,26,6,42,-0.023811,0.501975,0.038472
1135,-123.556610,-123.552010,10.596600,197.810000,9,3,6,-0.181211,0.217930,0.624303
1136,-83.426774,-83.423250,20.378600,141.460000,4,6,2,-0.047657,0.275051,1.678874
1137,-24.900721,-24.898512,1.560400,56.960000,1,1,2,-0.358582,0.192241,0.319259
1138,-175.809860,-175.801450,12.873000,383.200000,11,1,16,-0.405459,0.112925,0.391500
1139,-225.874690,-225.864750,18.163500,456.090000,12,7,16,-0.336395,0.178419,0.464116
1140,-134.251400,-134.239390,0.025400,356.480000,6,4,12,-0.328619,0.212959,0.000830
1141,-152.817920,-152.811200,3.739600,426.130000,1,10,16,-0.353196,0.163822,0.102273
1142,-147.373760,-147.361570,0.186200,379.720000,4,8,12,-0.393069,0.171685,0.005715
1143,-58.462414,-58.460497,15.912200,93.210000,4,3,1,-0.050283,0.211501,1.989505
1144,-78.313622,-78.307266,3.701900,187.480000,4,1,8,-0.393349,0.134008,0.230116
1145,-602.986820,-602.944390,4.409700,1599.130000,30,8,64,-0.333599,0.194582,0.032137
1146,-162.539890,-162.527220,15.418900,434.590000,4,8,16,-0.288530,0.262363,0.413477
1147,-106.994310,-106.990140,1.332400,282.330000,1,6,12,-0.409810,0.072527,0.054999
1148,-337.108770,-337.091330,8.482400,844.340000,16,8,32,-0.299388,0.236908,0.117079
